Week,Day,Date,Track,Topic,Problems/Sub-Topics,Duration,Priority,Status,SRE Mindset
Week 1,Wed,Jan 7,DSA,Big-O Basics + SRE Problems,"Big-O analysis, Arrays (3 problems), Log Analyzer, Health Check Monitor",90 min,High,[x],✅ Solved 5 problems! Used Counter, defaultdict, datetime, json!
Week 1,Wed,Jan 7,DevOps,Linux + Python Modules,"File structure, grep, find, permissions, log analysis, Python modules (os/sys/subprocess/collections)",120 min,High,[x],✅ EC2 practice! Linux quiz 7+/10. Python modules guide complete!
Week 1,Thu,Jan 8,DSA,Arrays + Prefix Sum,"Contains Duplicate, Max/Min, Running Sum, Range Sum",30 min,High,[ ],Like metrics aggregation
Week 1,Thu,Jan 8,DevOps,Shell Scripting,"Variables, if/for/while, Functions",30 min,High,[ ],Automation basics
Week 1,Fri,Jan 9,DSA,Two Pointers,"Reverse Array, Two Sum (sorted), Remove Duplicates",30 min,High,[x],Done yesterday!
Week 1,Fri,Jan 9,DevOps,Git Advanced,"Branching strategy, PRs, Merge conflicts",30 min,High,[ ],Daily tool
Week 1,Sat,Jan 10,DSA,Sliding Window,"Max Sum Subarray, Longest Substring Without Repeating",30 min,High,[x],Done yesterday!
Week 1,Sat,Jan 10,DevOps,Maven/Build,"pom.xml, Lifecycles, Dependencies",30 min,Medium,[ ],Java builds
Week 1,Sun,Jan 11,DSA,Frequency Counting,"Count Frequencies, Anagram Check, Top-K Frequent",30 min,High,[ ],Like log analysis!
Week 1,Sun,Jan 11,DevOps,Docker Basics,"Dockerfile, Images, Containers",30 min,High,[ ],Container fundamentals
Week 1,Mon,Jan 12,DSA,Mixed Array Patterns,"Move Zeros, Product Except Self",30 min,High,[ ],
Week 1,Mon,Jan 12,Review,Week 1 Review,"Re-solve 2 problems without looking",30 min,High,[ ],Explain out loud!
Week 2,Tue,Jan 13,DSA,String Basics,"Reverse String, Palindrome Check",30 min,High,[ ],Log parsing prep
Week 2,Tue,Jan 13,DevOps,Docker Advanced,"Networks, Volumes, Compose",30 min,High,[ ],
